id,value,unit,period,source_id,source_url,published,retrieved,locator,information_status,permitted_use,limitation
personal_allowance_under65,6475,GBP/tax_year,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p9,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
basic_taxable_band,37400,GBP/tax_year,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p7,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
income_tax_basic_rate,0.20,fraction,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p7,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
income_tax_higher_rate,0.40,fraction,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p7,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
nic_lower_earnings_limit,95,GBP/week,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p8,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
nic_primary_threshold,110,GBP/week,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p8,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
nic_secondary_threshold,110,GBP/week,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p8,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
nic_upper_earnings_limit,844,GBP/week,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p8,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
nic_employee_main_rate,0.11,fraction,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p8,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
nic_employee_upper_rate,0.01,fraction,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p8,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
nic_employer_rate,0.128,fraction,2009-04-06/2010-04-05,T01,https://researchbriefings.files.parliament.uk/documents/RP09-38/RP09-38.pdf,2009-04-27,2026-09-25,p8,opening_known_rule,supported standard tax or NIC categories only,Not all tax reliefs; NI non-contracted-out employee/employer categories; annual/weekly basis must be preserved
bank_rate,0.005,annual_quoted_fraction,2009-12-10,T02,https://www.bankofengland.co.uk/-/media/boe/files/news/2009/december/mpc-december-2009.pdf,2009-12-10,2026-09-25,release and note to editors,opening_known_observation,dated monetary reference,Policy rate; not every loan rate
asset_purchase_announced,200000000000,GBP,2009-12-10,T02,https://www.bankofengland.co.uk/-/media/boe/files/news/2009/december/mpc-december-2009.pdf,2009-12-10,2026-09-25,release and note to editors,opening_known_observation,dated monetary reference,Announced programme ceiling; not Treasury cash or completed assets
asset_purchase_completed,188000000000,GBP,2009-12-10,T02,https://www.bankofengland.co.uk/-/media/boe/files/news/2009/december/mpc-december-2009.pdf,2009-12-10,2026-09-25,release and note to editors,opening_known_observation,dated monetary reference,Observation as of release; not certified January stock
public_current_receipts,498.1,GBP_billion,2009-04-01/2010-03-31,T03,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/238510/7747.pdf,2009-12,2026-09-25,table B13 p189,opening_known_estimate,forecast comparison and definition reconciliation only,Excludes temporary financial-intervention effects; debt is end-March projection; not opening cash or authority
public_current_expenditure,607.0,GBP_billion,2009-04-01/2010-03-31,T03,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/238510/7747.pdf,2009-12,2026-09-25,table B13 p189,opening_known_estimate,forecast comparison and definition reconciliation only,Excludes temporary financial-intervention effects; debt is end-March projection; not opening cash or authority
public_depreciation,19.2,GBP_billion,2009-04-01/2010-03-31,T03,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/238510/7747.pdf,2009-12,2026-09-25,table B13 p189,opening_known_estimate,forecast comparison and definition reconciliation only,Excludes temporary financial-intervention effects; debt is end-March projection; not opening cash or authority
public_current_surplus,-128.1,GBP_billion,2009-04-01/2010-03-31,T03,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/238510/7747.pdf,2009-12,2026-09-25,table B13 p189,opening_known_estimate,forecast comparison and definition reconciliation only,Excludes temporary financial-intervention effects; debt is end-March projection; not opening cash or authority
